2026-03-09 03:33:04,941 | claim_id=561205 | marca=ferd | tipo_poliza=1 | taller=4 | prediccion=4.38
2026-03-09 03:39:18,753 | claim_id=561205 | marca=ferd | tipo_poliza=1 | taller=4 | prediccion=4.38
2026-03-09 03:39:30,869 | claim_id=561205 | marca=ferd | tipo_poliza=1 | taller=4 | prediccion=4.38
2026-03-09 03:39:42,978 | claim_id=561205 | marca=ferd | tipo_poliza=1 | taller=4 | prediccion=4.38
2026-03-09 03:39:55,083 | claim_id=561205 | marca=ferd | tipo_poliza=1 | taller=4 | prediccion=4.38
2026-03-09 03:40:07,173 | claim_id=561205 | marca=ferd | tipo_poliza=1 | taller=4 | prediccion=4.38
2026-03-09 03:40:19,282 | claim_id=561205 | marca=ferd | tipo_poliza=1 | taller=4 | prediccion=4.38
2026-03-09 03:40:31,381 | claim_id=561205 | marca=ferd | tipo_poliza=1 | taller=4 | prediccion=4.38
2026-03-09 03:40:43,462 | claim_id=561205 | marca=ferd | tipo_poliza=1 | taller=4 | prediccion=4.38
2026-03-09 03:40:55,564 | claim_id=561205 | marca=ferd | tipo_poliza=1 | taller=4 | prediccion=4.38
2026-03-09 03:41:07,661 | claim_id=561205 | marca=ferd | tipo_poliza=1 | taller=4 | prediccion=4.38
